slug,showcased,title,series_name,release_date,japanese_title,url,runtime,poster_url,transliteration,translation,aliases_json
godzilla-vs-mechagodzilla-1974,TRUE,Godzilla vs. Mechagodzilla,Godzilla,1974-03-21,ゴジラ対メカゴジラ,/films/godzilla-vs-mechagodzilla-1974,84,/static/images/films/posters/godzilla-vs-mechagodzilla-1974.webp,Gojira Tai Mekagojira,Godzilla vs. Mechagodzilla,"[{""alias"":""Godzilla vs. the Bionic Monster"",""context"":""American Theatrical Release""},{""alias"":""Godzilla vs. the Cosmic Monster"",""context"":""American Theatrical Reissue""}]"
godzilla-vs-mechagodzilla-ii-1993,TRUE,Godzilla vs. Mechagodzilla II,Godzilla,1993-12-11,ゴジラvsメカゴジラ,/films/godzilla-vs-mechagodzilla-ii-1993,108,/static/images/films/posters/godzilla-vs-mechagodzilla-ii-1993.webp,Gojira vs Mekagojira,Godzilla vs Mechagodzilla,[]
godzilla-vs-megaguirus-2000,TRUE,Godzilla vs. Megaguirus,Godzilla,2000-12-16,ゴジラ×メガギラス G消滅作戦,/films/godzilla-vs-megaguirus-2000,105,/static/images/films/posters/godzilla-vs-megaguirus-2000.webp,Gojira × Megagirasu G Shômetsu Sakusen,Godzilla × Megaguirus G Annihilation Operation,[]
godzilla-vs-megalon-1973,TRUE,Godzilla vs. Megalon,Godzilla,1973-03-17,ゴジラ対メガロ,/films/godzilla-vs-megalon-1973,82,/static/images/films/posters/godzilla-vs-megalon-1973.webp,Gojira Tai Megaro,Godzilla vs. Megalon,[]
godzilla-vs-mothra-1992,TRUE,Godzilla vs. Mothra,Godzilla,1992-12-12,ゴジラvsモスラ,/films/godzilla-vs-mothra-1992,102,/static/images/films/posters/godzilla-vs-mothra-1992.webp,Gojira vs Mosura,Godzilla vs Mothra,"[{""alias"":""Godzilla and Mothra: The Battle for Earth"",""context"":""American Home Video""}]"
godzilla-vs-spacegodzilla-1994,TRUE,Godzilla vs. SpaceGodzilla,Godzilla,1994-12-10,ゴジラvsスペースゴジラ,/films/godzilla-vs-spacegodzilla-1994,108,/static/images/films/posters/godzilla-vs-spacegodzilla-1994.webp,Gojira vs Supêsugojira,Godzilla vs SpaceGodzilla,[]
goemon-2009,TRUE,Goemon,,2009-05-01,GOEMON,/films/goemon-2009,128,/static/images/films/posters/goemon-2009.webp,,,[]
goke-body-snatcher-from-hell-1968,TRUE,"Goke, Body Snatcher from Hell",,1968-08-14,吸血鬼ゴケミドロ,/films/goke-body-snatcher-from-hell-1968,84,/static/images/films/posters/goke-body-snatcher-from-hell-1968.webp,Kyûketsuki Gokemidoro,Vampire Gokemidoro,[]
golden-bat-1966,TRUE,The Golden Bat,,1966-12-21,黄金バット,/films/golden-bat-1966,73,/static/images/films/posters/golden-bat-1966.webp,Ôgon Batto,Golden Bat,[]
gorath-1962,TRUE,Gorath,,1962-03-21,妖星ゴラス,/films/gorath-1962,88,/static/images/films/posters/gorath-1962.webp,Yôsei Gorasu,Mystery Planet Gorath,[]
gray-sunset-1985,FALSE,Gray Sunset,,1985-10-10,花いちもんめ,,,,,,
green-slime-1968,FALSE,The Green Slime,,1968-12-01,ガンマー第3号 宇宙大作戦,,,,,,
gunhed-1989,TRUE,Gunhed,,1989-07-22,ガンヘッド,/films/gunhed-1989,100,/static/images/films/posters/gunhed-1989.webp,Ganheddo,Gunhed,[]
h-man-1958,TRUE,The H-Man,,1959-06-24,美女と液体人間,/films/h-man-1958,87,/static/images/films/posters/h-man-1958.webp,Bijo To Ekitainingen,Beauty and Liquid Man,[]
half-human-1955,TRUE,Half Human,,1955-08-14,獣人雪男,/films/half-human-1955,95,/static/images/films/posters/half-human-1955.webp,Jûjin Yukiotoko,Beastman Yeti,[]
hara-kiri-death-of-a-samurai-2011,TRUE,Hara-Kiri: Death of a Samurai,,2011-10-15,一命,/films/hara-kiri-death-of-a-samurai-2011,126,/static/images/films/posters/hara-kiri-death-of-a-samurai-2011.webp,Ichimei,One Life,[]
hidden-fortress-1958,TRUE,The Hidden Fortress,,1958-12-28,隠し砦の三悪人,/films/hidden-fortress-1958,139,/static/images/films/posters/hidden-fortress-1958.webp,Kakushi Toride No San Akunin,Three Villains of the Hidden Fortress,[]
hidden-fortress-the-last-princess-2008,TRUE,Hidden Fortress: The Last Princess,,2008-05-10,隠し砦の三悪人 THE LAST PRINCESS,/films/hidden-fortress-the-last-princess-2008,118,/static/images/films/posters/hidden-fortress-the-last-princess-2008.webp,Kakushi Toride No San Akunin The Last Princess,Three Villains of the Hidden Fortress The Last Princess,[]
high-and-low-1963,TRUE,High and Low,,1963-03-01,天国と地獄,/films/high-and-low-1963,143,/static/images/films/posters/high-and-low-1963.webp,Tengoku to Jigoku,Heaven and Hell,[]
howls-moving-castle-2004,TRUE,Howl's Moving Castle,,2004-11-20,ハウルの動く城,/films/howls-moving-castle-2004,119,/static/images/films/posters/howls-moving-castle-2004.webp,Hauru No Ugokushiro,Howl's Moving Castle,[]
human-vapor-1960,TRUE,The Human Vapor,,1960-12-11,ガス人間㐧1号,/films/human-vapor-1960,91,/static/images/films/posters/human-vapor-1960.webp,Gasu Ningen Dai Ichi-gô,Gas Man No. 1,[]
i-am-a-hero-2016,TRUE,I Am A Hero,,2016-04-23,アイアムアヒーロー,/films/i-am-a-hero-2016,127,/static/images/films/posters/i-am-a-hero-2016.webp,Ai Amu A Hîrô,I Am A Hero,[]
ikiru-1952,FALSE,Ikiru,,1952-10-09,生きる,,,,,,
interpol-code-8-1963,FALSE,Interpol Code 8,International Secret Police,1963-08-31,国際秘密警察 指令第8号
invasion-of-astro-monster-1965,TRUE,Invasion of Astro-Monster,Godzilla,1965-12-19,怪獣大戦争,/films/invasion-of-astro-monster-1965,94,/static/images/films/posters/invasion-of-astro-monster-1965.webp,Kaijû Daisensô,Monster Great War,"[{""alias"":""Monster Zero"",""context"":""American Theatrical Release""},{""alias"":""Godzilla vs. Monster Zero"",""context"":""American Home Video""}]"
invisible-man-1954,TRUE,Invisible Man,,1954-12-29,透明人間,/films/invisible-man-1954,70,/static/images/films/posters/invisible-man-1954.webp,Tômei Ningen,Invisible Man,[]
invisible-man-appears-1949,TRUE,The Invisible Man Appears,,1949-09-25,透明人間現わる,/films/invisible-man-appears-1949,87,/static/images/films/posters/invisible-man-appears-1949.webp,Tômei Ningen Arawaru,Invisible Man Appears,[]
invisible-man-vs-the-human-fly-1957,TRUE,The Invisible Man vs. The Human Fly,,1957-08-25,透明人間と蝿男,,96,/static/images/films/posters/invisible-man-vs-the-human-fly-1957.webp,Tômei Ningen To Haeotoko,Invisible Man and Fly Man
ironfinger-1965,FALSE,Ironfinger,"100 Shot, 100 Killed",1965-12-05,100発100中,,,,,,
it-started-in-the-alps-1966,FALSE,It Started in the Alps,Young Guy,1966-05-28,アルプスの若大将,,,,,,
japans-longest-day-1967,FALSE,Japan’s Longest Day,,1967-08-12,日本のいちばん長い日,,,,,,
japans-number-one-young-guy-1962,FALSE,Japan’s Number One Young Guy,Young Guy,1962-07-14,日本一の若大将,,,,,,
jin-roh-the-wolf-brigade-2000,TRUE,Jin-Roh: The Wolf Brigade,Kerberos,2000-06-03,人狼 JIN-ROH,/films/jin-roh-the-wolf-brigade-2000,98,/static/images/films/posters/jin-roh-the-wolf-brigade-2000.webp,Jinrô Jin-Roh,Werewolf Jin-Roh,[]
judo-champion-1967,FALSE,Judo Champion,Young Guy,1967-07-01,南太平洋の若大将,,,,,,
juvenile-2000,TRUE,Juvenile,,2000-07-15,ジュブナイル,/films/juvenile-2000,105,/static/images/films/posters/juvenile-2000.webp,Jubunairu,Juvenile,[]
k-20-legend-of-the-mask-2008,TRUE,K-20: Legend of the Mask,,2008-12-20,K-20 怪人二十面相・伝,/films/k-20-legend-of-the-mask-2008,137,/static/images/films/posters/k-20-legend-of-the-mask-2008.webp,K-20 Kaijin Nijûmensô Den,K-20 Fiend with Twenty Faces,"[{""alias"":""K-20: The Fiend with Twenty Faces"",""context"":""American Home Video""}]"
kagemusha-1980,TRUE,Kagemusha,,1980-04-26,影武者,/films/kagemusha-1980,179,/static/images/films/posters/kagemusha-1980.webp,Kagemusha,Shadow Warrior,[]
kaiji-2-2011,TRUE,Kaiji 2,Kaiji,2011-11-05,カイジ2 人生奪回ゲーム,/films/kaiji-2-2011,155,/static/images/films/posters/kaiji-2-2011.webp,Kaiji 2 Jinsei Dakkai Gêmu,Kaiji 2 Take Back Life Game,"[{""alias"":""Kaiji 2: The Ultimate Gambler"",""context"":""International Title""}]"
kaiji-2009,TRUE,Kaiji,Kaiji,2009-10-10,カイジ 人生逆転ゲーム,/films/kaiji-2009,129,/static/images/films/posters/kaiji-2009.webp,Kaiju Jinsei Gyakuten Gêmu,Kaiji Change Life Game,"[{""alias"":""Kaiji: The Ultimate Gambler"",""context"":""International Title""}]"
kaiji-final-game-2020,FALSE,Kaiji: Final Game,Kaiji,2020-01-10,カイジ ファイナルゲーム
kamen-rider-the-first-2005,TRUE,Kamen Rider: The First,Kamen Rider Dyad,2005-11-05,仮面ライダー THE FIRST,/films/kamen-rider-the-first-2005,90,/static/images/films/posters/kamen-rider-the-first-2005.webp,Kamen Raidâ The First,Masked Rider The First,"[{""alias"":""Masked Rider: The First"",""context"":""American Home Video""}]"
kamen-rider-the-next-2007,TRUE,Kamen Rider: The Next,Kamen Rider Dyad,2007-10-27,仮面ライダー THE NEXT,/films/kamen-rider-the-next-2007,113,/static/images/films/posters/kamen-rider-the-next-2007.webp,Kamen Raidâ The Next,Masked Rider The Next,[]
kamui-gaiden-2009,TRUE,Kamui Gaiden,,2009-09-19,カムイ外伝,/films/kamui-gaiden-2009,120,/static/images/films/posters/kamui-gaiden-2009.webp,Kamui Gaiden,Kamui Gaiden,[]
key-of-keys-1965,FALSE,Key of Keys,International Secret Police,1965-10-23,国際秘密警察 鍵の鍵,,,,,,
kigeki-ekimae-gakuen-1967,FALSE,Kigeki Ekimae Gakuen,,1967-04-15,喜劇 駅前学園,,,,,,
kikis-delivery-service-1989,TRUE,Kiki's Delivery Service,,1989-07-29,魔女の宅急便,/films/kikis-delivery-service-1989,102,/static/images/films/posters/kikis-delivery-service-1989.webp,Majo No Takkyûbin,Witch's Express Home Delivery,[]
kill-1968,FALSE,Kill!,,1968-06-22,斬る,,,,,,
killing-bottle-1967,FALSE,The Killing Bottle,International Secret Police,1967-02-11,国際秘密警察 絶体絶命,,,,,,
king-kong-escapes-1967,TRUE,King Kong Escapes,,1967-07-22,キングコングの逆襲,/films/king-kong-escapes-1967,104,/static/images/films/posters/king-kong-escapes-1967.webp,Kingukongu No Gyakushû,King Kong Strikes Back,[]
king-kong-vs-godzilla-1962,TRUE,King Kong vs. Godzilla,Godzilla,1962-08-11,キングコング対ゴジラ,/films/king-kong-vs-godzilla-1962,97,/static/images/films/posters/king-kong-vs-godzilla-1962.webp,Kingukongu Tai Gojira,King Kong vs. Godzilla,[]
l-change-the-world-2008,TRUE,L: Change the World,Death Note,2008-02-09,L change the WorLd,/films/l-change-the-world-2008,129,/static/images/films/posters/l-change-the-world-2008.webp,,,[]
lake-of-dracula-1971,TRUE,Lake of Dracula,Bloodthirsty,1971-06-16,呪いの館 血を吸う眼,/films/lake-of-dracula-1971,82,/static/images/films/posters/lake-of-dracula-1971.webp,Noroi No Yakata Chiwosu Me,Cursed Mansion Bloodthirsty Eyes,[]
last-war-1961,TRUE,The Last War,,1961-10-08,世界大戦争,/films/last-war-1961,110,/static/images/films/posters/last-war-1961.webp,Sekai Daisensô,World Great War,[]
late-spring-1949,FALSE,Late Spring,,1949-09-19,晩春,,,,,,
latitude-zero-1969,TRUE,Latitude Zero,,1969-07-26,緯度<ruby>0<rt>ゼロ</rt></ruby>大作戦,/films/latitude-zero-1969,105,/static/images/films/posters/latitude-zero-1969.webp,Ido Zero Daisakusen,Latitude 0 Great Operation,[]
legend-of-the-eight-samurai-1983,TRUE,Legend of the Eight Samurai,,1983-12-10,里見八犬伝,/films/legend-of-the-eight-samurai-1983,136,/static/images/films/posters/legend-of-the-eight-samurai-1983.webp,Satomi Hakkenden,Satomi's Eight Dog Warriors,[]
lets-go-young-guy-1967,FALSE,"Let’s Go, Young Guy!",Young Guy,1967-01-01,"レッツゴー!若大将 ",,,,,,
library-wars-2013,TRUE,Library Wars,Library Wars,2013-04-27,図書館戦争,/films/library-wars-2013,128,/static/images/films/posters/library-wars-2013.webp,Toshokan Sensô,Library War,[]
library-wars-the-last-mission-2015,TRUE,Library Wars: The Last Mission,Library Wars,2015-10-10,図書館戦争-THE LAST MISSION-,/films/library-wars-the-last-mission-2015,120,/static/images/films/posters/library-wars-the-last-mission-2015.webp,Toshokan Sensô The Last Mission,Library War The Last Mission,[]
living-skeleton-1968,TRUE,The Living Skeleton,,1968-11-09,吸血髑髏船,/films/living-skeleton-1968,81,/static/images/films/posters/living-skeleton-1968.webp,Kyûketsu Dokurosen,Blood Skeleton Ship,[]
lorelei-the-witch-of-the-pacific-ocean-2005,TRUE,Lorelei: The Witch of the Pacific Ocean,,2005-03-05,ローレライ,/films/lorelei-the-witch-of-the-pacific-ocean-2005,128,/static/images/films/posters/lorelei-the-witch-of-the-pacific-ocean-2005.webp,Rôrerai,Lorelei,[]
lost-world-of-sinbad-1963,TRUE,The Lost World of Sinbad,,1963-10-26,大盗賊,/films/lost-world-of-sinbad-1963,97,/static/images/films/posters/lost-world-of-sinbad-1963.webp,Daitôzoku,Great Bandit,"[{""alias"":""Samurai Pirate"",""context"":""International Title""}]"
lovedeath-2007,TRUE,LoveDeath,,2007-05-12,LOVEDEATH ラブデス,/films/lovedeath-2007,158,/static/images/films/posters/lovedeath-2007.webp,Lovedeath Rabudesu,Lovedeath Lovedeath,[]
lupin-iii-the-castle-of-cagliostro-1979,TRUE,Lupin III: The Castle of Cagliostro,,1979-12-15,ルパン三世 カリオストロの城,/films/lupin-iii-the-castle-of-cagliostro-1979,100,/static/images/films/posters/lupin-iii-the-castle-of-cagliostro-1979.webp,Rupan Sansei Kariosutoro No Shiro,Lupin III Castle of Cagliostro,[]
lupin-the-3rd-2014,TRUE,Lupin the 3rd,,2014-08-30,ルパン三世,/films/lupin-the-3rd-2014,133,/static/images/films/posters/lupin-the-3rd-2014.webp,Rupan Sansei,Lupin III,[]
magic-serpent-1966,TRUE,The Magic Serpent,,1966-12-21,怪竜大決戦,/films/magic-serpent-1966,94,/static/images/films/posters/magic-serpent-1966.webp,Kairyû Daikessen,Strange Dragon Great Decisive Battle,[]
magnitude-7-9-1980,TRUE,Magnitude 7.9,,1980-08-30,地震列島,/films/magnitude-7-9-1980,126,/static/images/films/posters/magnitude-7-9-1980.webp,Jishin Rettô,Earthquake Archipelago,"[{""alias"":""Deathquake"",""context"":""American Theatrical Release""}]"
matango-1963,TRUE,Matango,,1963-08-11,マタンゴ,/films/matango-1963,89,/static/images/films/posters/matango-1963.webp,Matango,Matango,"[{""alias"":""Attack of the Mushroom People"",""context"":""American Theatrical Release""}]"
mechanical-violator-hakaider-1995,TRUE,Mechanical Violator Hakaider,,1995-04-15,人造人間ハカイダー,/films/mechanical-violator-hakaider-1995,52,/static/images/films/posters/mechanical-violator-hakaider-1995.webp,Jinzô Ningen Hakaidâ,Artificial Human Hakaider,[]
men-who-tread-on-the-tigers-tail-1945,FALSE,The Men Who Tread on the Tiger’s Tail,,1952-04-24,虎の尾を踏む男達,,,,,,
message-from-space-1978,TRUE,Message from Space,,1978-04-29,宇宙からのメッセージ,/films/message-from-space-1978,105,/static/images/films/posters/message-from-space-1978.webp,Uchû Kara No Messêji,Message from Space,[]
moon-over-tao-1997,TRUE,Moon Over Tao,,1997-11-29,タオの月,/films/moon-over-tao-1997,96,/static/images/films/posters/moon-over-tao-1997.webp,Tao no Tsuki,Tao Moon,[]
mothra-1961,TRUE,Mothra,,1961-07-30,モスラ,/films/mothra-1961,101,/static/images/films/posters/mothra-1961.webp,Mosura,Mothra,[]
mothra-vs-godzilla-1964,TRUE,Mothra vs. Godzilla,Godzilla,1964-04-29,モスラ対ゴジラ,/films/mothra-vs-godzilla-1964,89,/static/images/films/posters/mothra-vs-godzilla-1964.webp,Mosura Tai Gojira,Mothra vs. Godzilla,"[{""alias"":""Godzilla vs. the Thing"",""context"":""American Theatrical Release""}]"
mushi-shi-2007,TRUE,Mushi-shi,,2007-03-24,蟲師,/films/mushi-shi-2007,131,/static/images/films/posters/mushi-shi-2007.webp,Mushi-shi,Mushi-shi,[]
my-neighbor-totoro-1988,TRUE,My Neighbor Totoro,,1988-04-16,となりのトトロ,/films/my-neighbor-totoro-1988,87,/static/images/films/posters/my-neighbor-totoro-1988.webp,Tonari No Totoro,My Neighbor Totoro,[]
mysterians-1957,TRUE,The Mysterians,,1957-12-28,地球防衛軍,/films/mysterians-1957,88,/static/images/films/posters/mysterians-1957.webp,Chikyû Bôeigun,Earth Defense Force,[]
nausicaa-of-the-valley-of-the-wind-1984,TRUE,Nausicaä of the Valley of the Wind,,1984-03-11,風の谷のナウシカ,/films/nausicaa-of-the-valley-of-the-wind-1984,116,/static/images/films/posters/nausicaa-of-the-valley-of-the-wind-1984.webp,Kaze No Tani No Naushika,Nausicaä of the Valley of the Wind,[]
new-tale-of-zatoichi-1963,TRUE,New Tale of Zatoichi,Zatoichi,1963-03-15,新・座頭市物語,/films/new-tale-of-zatoichi-1963,91,/static/images/films/posters/new-tale-of-zatoichi-1963.webp,Shin Zatôichi Monogatari,New Zatôichi Story,[]
no-regrets-for-our-youth-1946,FALSE,No Regrets for Our Youth,,1946-10-29,わが青春に悔なし,,,,,,
oblivion-island-haruka-and-the-magic-mirror-2009,TRUE,Oblivion Island: Haruka and the Magic Mirror,,2009-08-22,ホッタラケの島 〜遥と魔法の鏡〜,/films/oblivion-island-haruka-and-the-magic-mirror-2009,93,/static/images/films/posters/oblivion-island-haruka-and-the-magic-mirror-2009.webp,Hottarake No Shima ~Haruka To Mahô No Kagami~,Hottarake Island ~Haruka and the Magic Mirror~,[]
one-missed-call-2-2005,TRUE,One Missed Call 2,One Missed Call,2005-02-05,着信アリ2,/films/one-missed-call-2-2005,106,/static/images/films/posters/one-missed-call-2-2005.webp,Chakushin Ari 2,Incoming Call 2,[]
one-missed-call-2003,TRUE,One Missed Call,One Missed Call,2003-11-03,着信アリ,/films/one-missed-call-2003,112,/static/images/films/posters/one-missed-call-2003.webp,Chakushin Ari,Incoming Call,[]
one-missed-call-final-2006,TRUE,One Missed Call: Final,One Missed Call,2006-06-24,着信アリFinal,/films/one-missed-call-final-2006,105,/static/images/films/posters/one-missed-call-final-2006.webp,Chakushin Ari Final,Incoming Call Final,[]
onmyoji-2001,TRUE,Onmyoji,Onmyoji,2001-10-06,陰陽師,/films/onmyoji-2001,116,/static/images/films/posters/onmyoji-2001.webp,Onmyôji,Ying Yang Master,[]
onmyoji-ii-2003,TRUE,Onmyoji II,Onmyoji,2003-10-04,陰陽師II,/films/onmyoji-ii-2003,115,/static/images/films/posters/onmyoji-ii-2003.webp,Onmyôji II,Ying Yang Master II,[]
orochi-the-eight-headed-dragon-1994,TRUE,"Orochi, the Eight-Headed Dragon",,1994-07-09,ヤマトタケル,/films/orochi-the-eight-headed-dragon-1994,103,/static/images/films/posters/orochi-the-eight-headed-dragon-1994.webp,Yamato Takeru,Yamato Takeru,[]
parasite-eve-1997,TRUE,Parasite Eve,,1997-02-01,パラサイト・イヴ,/films/parasite-eve-1997,120,/static/images/films/posters/parasite-eve-1997.webp,Parasaito Ibu,Parasite Eve,[]
parasyte-part-1-2014,TRUE,Parasyte: Part 1,Parasyte,2014-11-29,寄生獣,/films/parasyte-part-1-2014,109,/static/images/films/posters/parasyte-part-1-2014.webp,Kiseijû,Parasite,[]
parasyte-part-2-2015,TRUE,Parasyte: Part 2,Parasyte,2015-04-25,寄生獣 完結編,/films/parasyte-part-2-2015,117,/static/images/films/posters/parasyte-part-2-2015.webp,Kiseijû Kanketsu-hen,Parasite Final Chapter,[]
patlabor-2-the-movie-1993,TRUE,Patlabor 2: The Movie,Patlabor,1993-08-07,機動警察パトレイバー 2 the Movie,/films/patlabor-2-the-movie-1993,113,/static/images/films/posters/patlabor-2-the-movie-1993.webp,Kidô Keisatsu Patoreibâ 2 The Movie,Mobile Police Patlabor 2 The Movie,[]
patlabor-the-movie-1989,TRUE,Patlabor: The Movie,Patlabor,1989-07-15,機動警察パトレイバー the Movie,/films/patlabor-the-movie-1989,100,/static/images/films/posters/patlabor-the-movie-1989.webp,Kidô Keisatsu Patoreibâ The Movie,Mobile Police Patlabor The Movie,[]
picnic-1955,FALSE,Picnic,,1956-02-16,,,,,,,
platinum-data-2013,TRUE,Platinum Data,,2013-03-16,プラチナデータ,/films/platinum-data-2013,133,/static/images/films/posters/platinum-data-2013.webp,Purachina Dêta,Platinum Data,[]
ponyo-2008,TRUE,Ponyo,,2008-07-19,崖の上のポニョ,/films/ponyo-2008,101,/static/images/films/posters/ponyo-2008.webp,Gake No Ue No Ponyo,Ponyo on the Cliff,[]
porco-rosso-1992,TRUE,Porco Rosso,,1992-07-18,紅の豚,/films/porco-rosso-1992,93,/static/images/films/posters/porco-rosso-1992.webp,Kurenai No Buta,Crimson Pig,[]
presidents-abc-1970,FALSE,President’s ABC,Company President,1970-01-15,社長学ABC,,,,,,[]
presidents-abc-part-ii-1970,FALSE,President’s ABC: Part II,Company President,1970-02-28,続・社長学ABC,,,,,,[]
presidents-grade-book-1969,FALSE,President’s Grade Book,Company President,1969-01-15,社長えんま帖,,,,,,[]
presidents-grade-book-part-ii-1969,FALSE,President’s Grade Book: Part II,Company President,1969-05-17,続・社長えんま帖,,,,,,[]
presidents-journey-1963,FALSE,President’s Journey,Company President,1963-01-03,社長漫遊記,,,,,,[]
presidents-journey-part-ii-1963,FALSE,President's Journey: Part II,Company President,1963-03-01,続・社長漫遊記,,,,,,[]
presidents-ninja-scroll-1965,FALSE,President’s Ninja Scroll,Company President,1965-01-03,社長忍法帖,,,,,,[]
presidents-ninja-scroll-part-ii-1965,FALSE,President’s Ninja Scroll: Part II,Company President,1965-01-31,続・社長忍法帖,,,,,,[]
presidents-peaceful-period-1959,FALSE,President’s Peaceful Period,Company President,1959-01-03,社長太平記,,,,,,[]
presidents-peaceful-period-part-ii-1959,FALSE,President’s Peaceful Period: Part II,Company President,1959-03-15,続・社長太平記,,,,,,[]
presidents-record-1966,FALSE,President’s Record,Company President,1966-01-03,社長行状記,,,,,,[]
presidents-record-part-ii-1966,FALSE,President’s Record: Part II,Company President,1966-02-25,続・社長行状記,,,,,,[]
presidents-success-story-1968,FALSE,President’s Success Story,Company President,1968-01-04,社長繁盛記,,,,,,[]
presidents-success-story-part-ii-1968,FALSE,President’s Success Story: Part II,Company President,1968-02-24,続・社長繁盛記,,,,,,[]
presidents-thousand-and-one-nights-1967,FALSE,President’s Thousand and One Nights,Company President,1967-01-01,社長千一夜,,,,,,[]
presidents-thousand-and-one-nights-part-ii-1967,FALSE,President’s Thousand and One Nights: Part II,Company President,1967-06-03,続・社長千一夜,,,,,,[]
presidents-travel-diary-1962,FALSE,President’s Travel Diary,Company President,1962-04-29,社長洋行記,,,,,,[]
presidents-travel-diary-part-ii-1962,FALSE,President’s Travel Diary: Part II,Company President,1962-06-01,続・社長洋行記,,,,,,[]
presidents-travels-1961,FALSE,President’s Travels,Company President,1961-04-25,社長道中記,,,,,,[]
presidents-travels-part-ii-1961,FALSE,President’s Travels: Part II,Company President,1961-05-30,続・社長道中記,,,,,,[]
presidents-trip-abroad-1963,FALSE,President’s Trip Abroad,Company President,1963-04-28,社長外遊記,,,,,,[]
presidents-trip-abroad-part-ii-1963,FALSE,President’s Trip Abroad: Part II,Company President,1963-05-29,続・社長外遊記,,,,,,[]
presidents-whos-who-1964,FALSE,President’s Who’s Who,Company President,1964-01-03,社長紳士録,,,,,,[]
presidents-whos-who-part-ii-1964,FALSE,President's Who's Who: Part II,Company President,1964-02-29,続・社長紳士録,,,,,,[]
pride-of-the-campus-1962,FALSE,Pride of the Campus,Young Guy,1962-02-10,銀座の若大将,,,,,,
princess-blade-2001,TRUE,The Princess Blade,,2001-12-15,修羅雪姫,/films/princess-blade-2001,93,/static/images/films/posters/princess-blade-2001.webp,Shûra Yukihime,Lady Snowblood,[]
princess-mononoke-1997,TRUE,Princess Mononoke,,1997-07-12,もののけ姫,/films/princess-mononoke-1997,133,/static/images/films/posters/princess-mononoke-1997.webp,Mononoke Hime,Princess Mononoke,[]
prophecies-of-nostradamus-1974,TRUE,Prophecies of Nostradamus,,1974-08-03,ノストラダムスの大予言,/films/prophecies-of-nostradamus-1974,114,/static/images/films/posters/prophecies-of-nostradamus-1974.webp,Nosutoradamusu No Daiyogen,Great Prophecy of Nostradamus,"[{""alias"":""Catastrophe: 1999"",""context"":""International Title""},{""alias"":""The Last Days of Planet Earth"",""context"":""American Television Title""}]"
rashomon-1950,TRUE,Rashomon,,1950-08-26,羅生門,/films/rashomon-1950,88,/static/images/films/posters/rashomon-1950.webp,Rashômon,Rashômon,[]
rebel-without-a-cause-1955,FALSE,Rebel Without a Cause,,1955-10-27,,,,,,,
rebirth-of-mothra-1996,TRUE,Rebirth of Mothra,Rebirth of Mothra,1996-12-14,モスラ,/films/rebirth-of-mothra-1996,106,/static/images/films/posters/rebirth-of-mothra-1996.webp,Mosura,Mothra,[]
rebirth-of-mothra-ii-1997,TRUE,Rebirth of Mothra II,Rebirth of Mothra,1997-12-13,モスラ2 海底の大決戦,/films/rebirth-of-mothra-ii-1997,100,/static/images/films/posters/rebirth-of-mothra-ii-1997.webp,Mosura 2 Kaitei No Daisakusen,Mothra 2 Undersea Battle,[]
rebirth-of-mothra-iii-1998,TRUE,Rebirth of Mothra III,Rebirth of Mothra,1998-12-12,モスラ3 キングギドラ来襲,/films/rebirth-of-mothra-iii-1998,100,/static/images/films/posters/rebirth-of-mothra-iii-1998.webp,Mosura 3 Kingugidora Raishû,Mothra 3 King Ghidorah Invades,[]
red-spectacles-1987,TRUE,The Red Spectacles,Kerberos,1987-02-07,紅い眼鏡/The Red Spectacles,/films/red-spectacles-1987,116,/static/images/films/posters/red-spectacles-1987.webp,Akai Megane / The Red Spectacles,Red Glasses / The Red Spectacles,[]
rescue-wings-2008,TRUE,Rescue Wings,,2008-12-13,空へ-救いの翼 RESCUE WINGS-,/films/rescue-wings-2008,108,/static/images/films/posters/rescue-wings-2008.webp,Sora e -Sukui No Tsubasa Rescue Wings-,To the Sky -Rescue Wings-,[]
return-of-daimajin-1966,TRUE,Return of Daimajin,Daimajin,1966-08-13,大魔神怒る,/films/return-of-daimajin-1966,79,/static/images/films/posters/return-of-daimajin-1966.webp,Daimajin Okoru,Daimajin Grows Angry,"[{""alias"":""Wrath of Daimajin"",""context"":""American Home Video""}]"
return-of-godzilla-1984,TRUE,The Return of Godzilla,Godzilla,1985-12-15,ゴジラ,/films/return-of-godzilla-1984,103,/static/images/films/posters/return-of-godzilla-1984.webp,Gojira,Godzilla,"[{""alias"":""Godzilla 1985"",""context"":""American Theatrical Release""}]"
return-of-the-champ-1981,FALSE,Return of the Champ,Young Guy,1981-02-11,帰ってきた若大将,,,,,,
returner-2002,TRUE,Returner,,2002-08-31,リターナー,/films/returner-2002,116,/static/images/films/posters/returner-2002.webp,Ritânâ,Returner,[]
ring-0-birthday-2000,TRUE,Ring 0: Birthday,Ring,2000-01-22,リング0 バースデイ,/films/ring-0-birthday-2000,99,/static/images/films/posters/ring-0-birthday-2000.webp,Ringu Zero Bâsudei,Ring 0 Birthday,"[{""alias"":""Ringu 0"",""context"":""American Home Video""}]"
ring-1998,TRUE,Ring,Ring,1998-01-31,リング,/films/ring-1998,95,/static/images/films/posters/ring-1998.webp,Ringu,Ring,"[{""alias"":""Ringu"",""context"":""American Home Video""}]"
